Oui	INT	oui
forfait	NOM	forfait
;	PUN	;
Mais	VER:impf	Mais
ce	PRO:DEM	ce
qui	PRO:REL	qui
le	PRO:PER	le
suivra	VER:futu	suivre
vous	PRO:PER	vous
va	VER:pres	aller
faire	VER:infi	faire
connaître	VER:infi	connaître
Ce	NAM	Ce
que	PRO:REL	que
je	PRO:PER	je
prends	VER:pres	prendre
de	PRP	de
part	NOM	part
dans	PRP	dans
la	DET:ART	le
mort	NOM	mort
de	PRP	de
mon	DET:POS	mon
maître	NOM	maître
,	PUN	,
Et	NOM	Et
si	KON	si
par	PRP	par
l'	DET:ART	le
attentat	NOM	attentat
son	DET:POS	son
destin	NOM	destin
avancé	VER:pper	avancer
...	PUN	...
Ne	NAM	Ne
crains	VER:pres	craindre
rien	ADV	rien
,	PUN	,
Stilicon	NAM	Stilicon
,	PUN	,
le	DET:ART	le
péril	NOM	péril
est	VER:pres	être
passé	VER:pper	passer
,	PUN	,
Et	VER:ppre	Et
la	DET:ART	le
faveur	NOM	faveur
du	PRP:det	du
ciel	NOM	ciel
t'	PRO:PER	te
a	VER:pres	avoir
conservé	VER:pper	conserver
ce	PRO:DEM	ce
maître	NOM	maître
,	PUN	,
Dont	VER:futu	Dont
la	DET:ART	le
mort	NOM	mort
te	PRO:PER	te
livrait	VER:impf	livrer
aux	PRP:det	au
attentats	NOM	attentat
d'	PRP	de
un	DET:ART	un
traître	NOM	traître
.	SENT	.
Ah	INT	ah
,	PUN	,
seigneur	NOM	seigneur
,	PUN	,
vous	PRO:PER	vous
vivez	VER:pres	vivre
!	SENT	!
Seigneur	NAM	Seigneur
...	PUN	...
Embrasse	NAM	Embrasse
-moi	PRO:PER	moi
!	SENT	!
Je	PRO:PER	je
dois	VER:pres	devoir
cette	PRO:DEM	ce
tendresse	NOM	tendresse
à	PRP	à
ton	DET:POS	ton
zèle	NOM	zèle
,	PUN	,
à	PRP	à
ta	DET:POS	ton
foi	NOM	foi
.	SENT	.
Ton	DET:POS	ton
devoir	NOM	devoir
dans	PRP	dans
ton	DET:POS	ton
fils	NOM	fil|fils
m'	PRO:PER	me
offrait	VER:impf	offrir
une	DET:ART	un
victime	NOM	victime
...	PUN	...
Pour	NAM	Pour
ce	PRO:DEM	ce
coupable	ADJ	coupable
fils	NOM	fil|fils
oublierez	VER:futu	oublier
-vous	PRO:PER	vous
mon	DET:POS	mon
crime	NOM	crime
,	PUN	,
Seigneur	NAM	Seigneur
?	SENT	?
Dans	PRP	dans
son	DET:POS	son
forfait	NOM	forfait
mon	DET:POS	mon
esprit	NOM	esprit
partagé	VER:pper	partager
...	PUN	...
Ah	NAM	Ah
!	SENT	!
Vous	PRO:PER	vous
seule	ADJ	seul
,	PUN	,
ma	DET:POS	mon
soeur	NOM	sœur
,	PUN	,
en	PRO:PER	en
avez	VER:pres	avoir
bien	ADV	bien
jugé	VER:pper	juger
;	PUN	;
Il	NAM	Il
était	VER:impf	être
innocent	ADJ	innocent
,	PUN	,
et	KON	et
jamais	ADV	jamais
l'	DET:ART	le
imposture	NOM	imposture
N'	ADJ	N'
avait	VER:impf	avoir
fait	VER:pper	faire
soupçonner	VER:infi	soupçonner
une	DET:ART	un
vertu	NOM	vertu
si	ADV	si
pure	ADJ	pur
.	SENT	.
Quoi	PRO	quoi
,	PUN	,
ce	PRO:DEM	ce
n'	ADV	ne
est	VER:pres	être
pas	ADV	pas
pour	PRP	pour
lui	PRO:PER	lui
qu'	KON	que
à	PRP	à
hauts	ADJ	haut
cris	NOM	cri
déclarez	VER:pres	déclarer
...	PUN	...
Son	VER:simp	Son
nom	NOM	nom
s'	PRO:PER	se
est	VER:pres	être
fait	VER:pper	faire
ouïr	VER:infi	ouïr
parmi	PRP	parmi
les	PRO:PER	la|le
conjurez	VER:pres	conjurer
;	PUN	;
Mais	VER:impf	Mais
on	PRO:PER	on
l'	PRO:PER	la|le
a	VER:pres	avoir
vu	VER:pper	voir
bientôt	ADV	bientôt
,	PUN	,
contre	PRP	contre
leur	DET:POS	leur
espérance	NOM	espérance
,	PUN	,
Aux	VER:simp	Aux
dépens	NOM	dépens
de	PRP	de
leur	DET:POS	leur
sang	NOM	sang
prouver	VER:infi	prouver
son	DET:POS	son
innocence	NOM	innocence
.	SENT	.
Mon	DET:POS	mon
fils	NOM	fil|fils
n'	ADV	ne
est	VER:pres	être
point	ADV	point
coupable	ADJ	coupable
!	SENT	!
Ah	INT	ah
,	PUN	,
permettez	VER:pres	permettre
,	PUN	,
seigneur	NOM	seigneur
,	PUN	,
Que	VER:subi	Que
je	PRO:PER	je
coure	VER:subp	courir
jouir	VER:infi	jouir
d'	PRP	de
un	DET:ART	un
si	ADV	si
rare	ADJ	rare
bonheur	NOM	bonheur
,	PUN	,
Qu'	NOM	Qu'
en	PRP	en
ses	DET:POS	son
embrassements	NOM	embrassement
...	PUN	...
Tu	NAM	Tu
le	PRO:PER	le
vas	VER:pres	aller
voir	VER:infi	voir
paraître	VER:infi	paraître
,	PUN	,
Demeure	NAM	Demeure
.	SENT	.
Mais	KON	mais
,	PUN	,
seigneur	NOM	seigneur
,	PUN	,
connaissez	VER:pres	connaître
-vous	PRO:PER	vous
le	DET:ART	le
traître	NOM	traître
?	SENT	?
Pour	KON	pour
qui	PRO:REL	qui
conspirait	VER:impf	conspirer
-on	PRO:PER	on
?	SENT	?
C'	PRO:DEM	ce
est	VER:pres	être
ce	PRO:DEM	ce
qu'	PRO:REL	que
on	PRO:PER	on
va	VER:pres	aller
savoir	VER:infi	savoir
Par	NAM	Par
ceux	PRO:DEM	celui
des	PRP:det	du
assassins	NOM	assassin
qui	PRO:REL	qui
sont	VER:pres	être
en	PRP	en
mon	DET:POS	mon
pouvoir	NOM	pouvoir
,	PUN	,
Du	VER:simp	Du
ciel	NOM	ciel
dans	PRP	dans
leur	DET:POS	leur
défaite	NOM	défaite
admirez	VER:pres	admirer
la	DET:ART	le
justice	NOM	justice
.	SENT	.
Ils	PRO:PER	il
voyaient	VER:impf	voir
à	PRP	à
leurs	DET:POS	leur
voeux	NOM	vœu
l'	DET:ART	le
occasion	NOM	occasion
propice	ADJ	propice
.	SENT	.
Dans	PRP	dans
les	DET:ART	le
nouveaux	ADJ	nouveau
soupçons	NOM	soupçon
qui	PRO:REL	qui
m'	PRO:PER	me
avaient	VER:impf	avoir
alarmé	VER:pper	alarmer
,	PUN	,
Seul	NOM	seul
avec	PRP	avec
ton	DET:POS	ton
fils	NOM	fil|fils
je	PRO:PER	je
m'	PRO:PER	me
étais	VER:impf	être
enfermé	VER:pper	enfermer
;	PUN	;
Mais	VER:impf	Mais
ils	PRO:PER	il
ne	ADV	ne
savaient	VER:impf	savoir
pas	ADV	pas
que	KON	que
dans	PRP	dans
la	DET:ART	le
juste	ADJ	juste
crainte	NOM	crainte
Dont	VER:futu	Dont
on	PRO:PER	on
a	VER:pres	avoir
vu	VER:pper	voir
pour	PRP	pour
moi	PRO:PER	moi
l'	DET:ART	le
impératrice	NOM	impératrice
atteinte	VER:pper	atteindre
,	PUN	,
Des	VER:simp	Des
plus	ADV	plus
zélés	ADJ	zélé
des	PRP:det	du
miens	PRO:POS	mien
quelque	PRO:IND	quelque
nombre	NOM	nombre
sans	PRP	sans
bruit	NOM	bruit
Par	NAM	Par
son	DET:POS	son
appartement	NOM	appartement
dans	PRP	dans
le	DET:ART	le
mien	PRO:POS	mien
introduit	VER:pper	introduire
,	PUN	,
Dedans	NOM	dedans
mon	DET:POS	mon
cabinet	NOM	cabinet
armé	VER:pper	armer
pour	PRP	pour
ma	DET:POS	mon
défense	NOM	défense
,	PUN	,
Contre	VER:pres	contrer
la	DET:ART	le
trahison	NOM	trahison
faisait	VER:impf	faire
mon	DET:POS	mon
assurance	NOM	assurance
.	SENT	.
Marcellin	NAM	Marcellin
par	PRP	par
mon	DET:POS	mon
ordre	NOM	ordre
au	PRP:det	au
dehors	NOM	dehors
demeuré	ADJ	demeuré
,	PUN	,
était	VER:impf	être
trompé	VER:pper	tromper
lui	PRO:PER	lui
-même	ADJ	même
,	PUN	,
et	KON	et
l'	PRO:PER	la|le
avait	VER:impf	avoir
ignoré	VER:pper	ignorer
,	PUN	,
Et	NOM	Et
n'	ADV	ne
ayant	VER:ppre	avoir
avec	PRP	avec
lui	PRO:PER	lui
que	KON	que
deux	NUM	deux
des	PRP:det	du
siens	PRO:POS	sien
pour	PRP	pour
suite	NOM	suite
,	PUN	,
À	PRP	à
me	PRO:PER	me
laisser	VER:infi	laisser
périr	VER:infi	périr
voyait	VER:impf	voir
sa	DET:POS	son
foi	NOM	foi
réduite	ADJ	réduit
;	PUN	;
Lors	NAM	Lors
qu'	KON	que
entrez	VER:pres	entrer
en	PRP	en
tumulte	NOM	tumulte
,	PUN	,
et	KON	et
leurs	DET:POS	leur
indignes	ADJ	indigne
cris	NOM	cri
Nous	PRO:PER	nous
ayant	VER:ppre	avoir
fait	VER:pper	faire
songer	VER:infi	songer
à	PRP	à
n'	ADV	ne
être	VER:infi	être
point	ADV	point
surpris	VER:pper	surprendre
,	PUN	,
De	NAM	De
Marcellin	NAM	Marcellin
à	PRP	à
peine	NOM	peine
ils	PRO:PER	il
bravent	VER:pres	braver
l'	DET:ART	le
impuissance	NOM	impuissance
,	PUN	,
Qu'	ADJ	Qu'
il	PRO:PER	il
nous	PRO:PER	nous
voit	VER:pres	voir
tout	ADV	tout
à	PRP	à
coup	NOM	coup
sortir	VER:infi	sortir
à	PRP	à
sa	DET:POS	son
défense	NOM	défense
.	SENT	.
Ce	PRO:DEM	ce
secours	NOM	secours
imprévu	ADJ	imprévu
les	PRO:PER	la|le
ayant	VER:ppre	avoir
étourdis	VER:pper	étourdir
,	PUN	,
Fait	VER:pper	faire
d'	PRP	de
abord	NOM	abord
à	PRP	à
nos	DET:POS	notre
pieds	NOM	pied
tomber	VER:infi	tomber
les	DET:ART	le
plus	ADV	plus
hardis	ADJ	hardi
.	SENT	.
L'	DET:ART	le
effroi	NOM	effroi
suit	VER:pres	suivre
aussitôt	ADV	aussitôt
leur	DET:POS	leur
attente	NOM	attente
trompée	VER:pper	tromper
,	PUN	,
Et	VER:ppre	Et
ton	DET:POS	ton
fils	NOM	fil|fils
de	PRP	de
l'	DET:ART	le
un	NOM	un
d'	PRP	de
eux	PRO:PER	eux
ayant	VER:ppre	avoir
saisi	VER:pper	saisir
l'	DET:ART	le
épée	NOM	épée
,	PUN	,
Les	DET:ART	le
yeux	NOM	œil
étincelants	ADJ	étincelant
d'	PRP	de
une	DET:ART	un
illustre	ADJ	illustre
fureur	NOM	fureur
,	PUN	,
Quoi	NAM	Quoi
,	PUN	,
vive	ADJ	vif
Eucherius	NAM	Eucherius
,	PUN	,
et	KON	et
meure	VER:subp	mourir
l'	DET:ART	le
empereur	NOM	empereur
,	PUN	,
Traîtres	NAM	Traîtres
?	SENT	?
et	KON	et
de	PRP	de
l'	DET:ART	le
effet	NOM	effet
la	DET:ART	le
menace	NOM	menace
est	VER:pres	être
suivie	VER:pper	suivre
.	SENT	.
Son	DET:POS	son
bras	NOM	bras
n'	ADV	ne
attaque	VER:pres	attaquer
point	ADV	point
qu'	KON	que
il	PRO:PER	il
n'	ADV	ne
en	PRO:PER	en
coûte	VER:pres	coûter
une	DET:ART	un
vie	NOM	vie
;	PUN	;
Il	NOM	Il
pousse	NOM	pousse
,	PUN	,
il	PRO:PER	il
frappe	VER:pres	frapper
,	PUN	,
il	PRO:PER	il
tue	VER:subp	tuer
,	PUN	,
et	KON	et
par	PRP	par
de	PRP	de
si	ADV	si
grands	ADJ	grand
coups	NOM	coup
,	PUN	,
L'	DET:ART	le
avantage	NOM	avantage
du	PRP:det	du
nombre	NOM	nombre
est	VER:pres	être
tout	ADV	tout
entier	ADJ	entier
pour	PRP	pour
nous	PRO:PER	nous
.	SENT	.
C'	PRO:DEM	ce
est	VER:pres	être
alors	ADV	alors
que	KON	que
cédant	VER:ppre	céder
à	PRP	à
l'	DET:ART	le
ardeur	NOM	ardeur
d'	PRP	de
un	DET:ART	un
beau	ADJ	beau
zèle	NOM	zèle
,	PUN	,
Pour	NOM	Pour
des	PRP:det	du
lâches	ADJ	lâche
,	PUN	,
dit-il	NOM	dit-il
,	PUN	,
cette	PRO:DEM	ce
mort	NOM	mort
est	VER:pres	être
trop	ADV	trop
belle	ADJ	beau
,	PUN	,
Nos	NOM	Nos
mains	NOM	main
à	PRP	à
trop	ADV	trop
d'	PRP	de
entr'eux	NOM	entr'eux
ont	VER:pres	avoir
ouvert	VER:pper	ouvrir
le	DET:ART	le
tombeau	NOM	tombeau
;	PUN	;
Réservons	VER:pres	réserver
ce	PRO:DEM	ce
qui	PRO:REL	qui
reste	VER:pres	rester
à	PRP	à
celles	PRO:DEM	celui
d'	PRP	de
un	DET:ART	un
bourreau	NOM	bourreau
,	PUN	,
Sous	VER:ppre	Sous
l'	DET:ART	le
horreur	NOM	horreur
des	PRP:det	du
tourments	NOM	tourment
qu'	PRO:REL	que
ils	PRO:PER	il
parlent	VER:pres	parler
,	PUN	,
qu'	KON	que
ils	PRO:PER	il
m'	PRO:PER	me
accusent	VER:pres	accuser
.	SENT	.
De	PRP	de
leur	DET:POS	leur
dernier	ADJ	dernier
espoir	NOM	espoir
ces	PRO:DEM	ce
mots	NOM	mot
les	PRO:PER	la|le
désabusent	VER:pres	désabuser
,	PUN	,
Chacun	NAM	Chacun
cherche	VER:pres	chercher
une	DET:ART	un
mort	NOM	mort
qu'	PRO:REL	que
il	PRO:PER	il
ne	ADV	ne
peut	VER:pres	pouvoir
obtenir	VER:infi	obtenir
,	PUN	,
On	NAM	On
épargne	VER:pres	épargner
leur	DET:POS	leur
vie	NOM	vie
afin	KON	afin
de	PRP	de
les	PRO:PER	la|le
punir	VER:infi	punir
,	PUN	,
On	NAM	On
les	PRO:PER	la|le
met	VER:pres	mettre
hors	PRP	hors
d'	DET:ART	de
état	NOM	état
d'	PRP	de
aucune	PRO:IND	aucun
résistance	NOM	résistance
,	PUN	,
Et	VER:ppre	Et
leur	DET:POS	leur
parti	NOM	parti
par	PRP	par
-là	ADV	là
demeurant	ADV	demeurant
sans	PRP	sans
défense	NOM	défense
,	PUN	,
Les	DET:ART	le
derniers	NOM	dernier
qu'	KON	que
à	PRP	à
l'	DET:ART	le
instant	NOM	instant
Eucherius	NAM	Eucherius
poursuit	VER:pres	poursuivre
N'	NAM	N'
espèrent	VER:pres	espérer
qu'	KON	que
en	PRP	en
la	DET:ART	le
fuite	NOM	fuite
où	PRO:REL	où
leur	PRO:PER	lui
sort	VER:pres	sortir
les	DET:ART	le
réduit	NOM	réduit
.	SENT	.
Marcellin	NAM	Marcellin
le	PRO:PER	le
seconde	VER:pres	seconder
et	KON	et
lui	PRO:PER	lui
preste	ADJ	preste
main	NOM	main
forte	ADJ	fort
,	PUN	,
Et	NOM	Et
dans	PRP	dans
la	DET:ART	le
noble	ADJ	noble
ardeur	NOM	ardeur
qui	PRO:REL	qui
tous	PRO:IND	tout
deux	NUM	deux
les	PRO:PER	la|le
transporte	VER:pres	transporter
,	PUN	,
Rien	NOM	rien
ne	ADV	ne
peut	VER:pres	pouvoir
dérober	VER:infi	dérober
ces	PRO:DEM	ce
lâches	ADJ	lâche
révoltés	VER:pper	révolter
Aux	NAM	Aux
supplices	NOM	supplice
affreux	ADJ	affreux
qui	PRO:REL	qui
leur	PRO:PER	lui
sont	VER:pres	être
apprêtez	VER:pres	apprêter
.	SENT	.
Ah	INT	ah
,	PUN	,
puis	ADV	puis
qu'	KON	que
il	PRO:PER	il
reste	VER:pres	rester
à	PRP	à
vaincre	VER:infi	vaincre
,	PUN	,
accordez	VER:pres	accorder
-moi	PRO:PER	moi
la	DET:ART	le
gloire	NOM	gloire
D'	ADJ	D'
achever	VER:infi	achever
avec	PRP	avec
eux	PRO:PER	eux
cette	PRO:DEM	ce
grande	ADJ	grand
victoire	NOM	victoire
.	SENT	.
Je	PRO:PER	je
rougis	VER:pres	rougir
que	KON	que
sans	PRP	sans
moi	PRO:PER	moi
l'	DET:ART	le
on	PRO:PER	on
vous	PRO:PER	vous
ait	VER:subp	avoir
secouru	VER:pper	secourir
.	SENT	.
il	PRO:PER	il
sort	VER:pres	sortir
.	SENT	.
Enfin	ADV	enfin
d'	PRP	de
Eucherius	NAM	Eucherius
l'	DET:ART	le
innocence	NOM	innocence
a	VER:pres	avoir
paru	VER:pper	paraître
,	PUN	,
Et	NAM	Et
j'	PRO:PER	je
espère	VER:pres	espérer
,	PUN	,
ma	DET:POS	mon
soeur	NOM	sœur
,	PUN	,
qu'	KON	que
étant	VER:ppre	être
toujours	ADV	toujours
aimée	VER:pper	aimer
...	PUN	...
Seigneur	NAM	Seigneur
,	PUN	,
pour	KON	pour
vous	PRO:PER	vous
encore	ADV	encore
je	PRO:PER	je
suis	VER:pres	suivre|être
toute	ADV	toute
alarmée	VER:pper	alarmer
.	SENT	.
Ne	ADV	ne
me	PRO:PER	me
demandez	VER:pres	demander
rien	ADV	rien
,	PUN	,
vous	PRO:PER	vous
vivez	VER:pres	vivre
,	PUN	,
je	PRO:PER	je
le	PRO:PER	le
vois	VER:pres	voir
,	PUN	,
L'	DET:ART	le
entreprise	NOM	entreprise
est	VER:pres	être
détruite	VER:pper	détruire
,	PUN	,
et	KON	et
c'	PRO:DEM	ce
est	VER:pres	être
assez	ADV	assez
pour	PRP	pour
moi	PRO:PER	moi
.	SENT	.
Seigneur	NAM	Seigneur
...	PUN	...
Et	NOM	Et
bien	ADJ	bien
,	PUN	,
enfin	ADV	enfin
?	SENT	?
Nos	DET:POS	notre
traîtres	NOM	traître
par	PRP	par
leur	DET:POS	leur
fuite	NOM	fuite
N'	NAM	N'
ont	VER:pres	avoir
pu	VER:pper	pouvoir
d'	PRP	de
Eucherius	NAM	Eucherius
éviter	VER:infi	éviter
la	DET:ART	le
poursuite	NOM	poursuite
?	SENT	?
Des	PRP:det	du
trois	NUM	trois
les	DET:ART	le
deux	NUM	deux
sont	VER:pres	être
pris	VER:pper	prendre
,	PUN	,
et	KON	et
de	PRP	de
sa	DET:POS	son
propre	ADJ	propre
main	NOM	main
L'	DET:ART	le
autre	ADJ	autre
s'	PRO:PER	se
est	VER:pres	être
mis	VER:pper	mettre
sur	PRP	sur
l'	DET:ART	le
heure	NOM	heure
un	DET:ART	un
poignard	NOM	poignard
dans	PRP	dans
le	DET:ART	le
sein	NOM	sein
.	SENT	.
Mais	KON	mais
un	DET:ART	un
nouveau	ADJ	nouveau
malheur	NOM	malheur
dont	PRO:REL	dont
tout	PRO:IND	tout
mon	DET:POS	mon
coeur	NOM	cœur
soupire	VER:pres	soupirer
...	PUN	...
Ciel	NOM	Ciel
!	SENT	!
Qu'	KON	que
ai	VER:pres	avoir
-je	PRO:PER	je
à	PRP	à
craindre	VER:infi	craindre
encore	ADV	encore
?	SENT	?
Je	PRO:PER	je
tremble	VER:pres	trembler
à	PRP	à
vous	PRO:PER	vous
le	DET:ART	le
dire	NOM	dire
,	PUN	,
Mais	VER:impf	Mais
je	PRO:PER	je
balance	VER:pres	balancer
en	PRP	en
vain	ADJ	vain
ce	PRO:DEM	ce
funeste	ADJ	funeste
rapport	NOM	rapport
,	PUN	,
Eucherius	NAM	Eucherius
n'	ADV	ne
est	VER:pres	être
plus	ADV	plus
.	SENT	.
Il	PRO:PER	il
est	VER:pres	être
mort	VER:pper	mourir
?	SENT	?
Il	PRO:PER	il
est	VER:pres	être
mort	VER:pper	mourir
.	SENT	.
Pourrai	VER:futu	pouvoir
-je	PRO:PER	je
déguiser	VER:infi	déguiser
la	DET:ART	le
douleur	NOM	douleur
qui	PRO:REL	qui
m'	PRO:PER	me
accable	VER:pres	accabler
?	SENT	?
Lucile	NAM	Lucile
,	PUN	,
quelle	PRO:REL	quel
atteinte	NOM	atteinte
!	SENT	!
Ô	INT	ô
prince	NOM	prince
déplorable	ADJ	déplorable
!	SENT	!
Eucherius	NAM	Eucherius
n'	ADV	ne
est	VER:pres	être
plus	ADV	plus
;	PUN	;
mais	KON	mais
dans	PRP	dans
un	DET:ART	un
tel	PRO:DEM	tel
malheur	NOM	malheur
Achève	NAM	Achève
,	PUN	,
Marcellin	NAM	Marcellin
,	PUN	,
de	PRP	de
me	PRO:PER	me
percer	VER:infi	percer
le	DET:ART	le
coeur	NOM	cœur
,	PUN	,
Apprends-nous	NOM	Apprends-nous
de	PRP	de
sa	DET:POS	son
mort	NOM	mort
ce	PRO:DEM	ce
que	PRO:REL	que
tu	PRO:PER	tu
peux	VER:pres	pouvoir
connaître	VER:infi	connaître
.	SENT	.
Avec	PRP	avec
la	DET:ART	le
même	ADJ	même
ardeur	NOM	ardeur
qu'	PRO:REL	que
il	PRO:PER	il
vous	PRO:PER	vous
a	VER:pres	avoir
fait	VER:pper	faire
paraître	VER:infi	paraître
Lors	NAM	Lors
qu'	KON	que
à	PRP	à
vos	DET:POS	votre
yeux	NOM	œil
,	PUN	,
seigneur	NOM	seigneur
,	PUN	,
il	PRO:PER	il
combattait	VER:impf	combattre
pour	PRP	pour
vous	PRO:PER	vous
,	PUN	,
Sur	NAM	Sur
ceux	PRO:DEM	celui
qui	PRO:REL	qui
le	PRO:PER	le
fuyaient	VER:impf	fuir
il	PRO:PER	il
porte	VER:pres	porter
son	DET:POS	son
courroux	NOM	courroux
.	SENT	.
Comme	KON	comme
s'	PRO:PER	se
il	PRO:PER	il
s'	PRO:PER	se
offensait	VER:impf	offenser
du	PRP:det	du
secours	NOM	secours
qu'	PRO:REL	que
on	PRO:PER	on
lui	PRO:PER	lui
preste	ADJ	preste
,	PUN	,
C'	NAM	C'
est	VER:pres	être
lui	PRO:PER	lui
seul	ADJ	seul
qui	PRO:REL	qui
combat	NOM	combat
,	PUN	,
lui	PRO:PER	lui
seul	ADJ	seul
qui	PRO:REL	qui
les	PRO:PER	la|le
arrête	VER:pres	arrêter
.	SENT	.
Il	PRO:PER	il
ne	ADV	ne
s'	PRO:PER	se
aperçoit	VER:pres	apercevoir
point	ADV	point
qu'	KON	que
assez	ADV	assez
proche	ADJ	proche
du	PRP:det	du
flanc	NOM	flanc
Une	VER:cond	Une
large	ADJ	large
blessure	NOM	blessure
épuise	VER:pres	épuiser
tout	ADV	tout
son	DET:POS	son
sang	NOM	sang
,	PUN	,
Soit	NAM	Soit
qu'	KON	que
au	PRP:det	au
premier	NUM	premier
combat	NOM	combat
il	PRO:PER	il
l'	PRO:PER	la|le
eût	VER:subi	avoir
déjà	ADV	déjà
reçue	VER:pper	recevoir
,	PUN	,
Soit	NAM	Soit
que	KON	que
de	PRP	de
ce	PRO:DEM	ce
dernier	ADJ	dernier
ce	PRO:DEM	ce
fut	VER:simp	être
l'	DET:ART	le
injuste	ADJ	injuste
issue	NOM	issue
.	SENT	.
À	PRP	à
peine	NOM	peine
est-il	ADJ	est-il
fini	VER:pper	finir
,	PUN	,
qu'	KON	que
en	PRP	en
suite	NOM	suite
d'	PRP	de
un	DET:ART	un
faux	NOM	fau|faux
pas	ADV	pas
Les	DET:ART	le
forces	NOM	force|forces
lui	PRO:PER	lui
manquant	VER:ppre	manquer
,	PUN	,
il	PRO:PER	il
tombe	VER:pres	tomber
entre	PRP	entre
mes	DET:POS	mon
bras	NOM	bras
.	SENT	.
Soudain	ADV	soudain
l'	DET:ART	le
impératrice	NOM	impératrice
accourue	VER:pper	accourir
à	PRP	à
notre	DET:POS	notre
aide	NOM	aide
,	PUN	,
à	PRP	à
ce	PRO:DEM	ce
triste	ADJ	triste
accident	NOM	accident
cherche	VER:pres	chercher
à	PRP	à
donner	VER:infi	donner
remède	NOM	remède
;	PUN	;
Mais	VER:impf	Mais
lui	PRO:PER	lui
de	PRP	de
sa	DET:POS	son
pitié	NOM	pitié
désavouant	VER:ppre	désavouer
l'	DET:ART	le
effet	NOM	effet
,	PUN	,
Je	PRO:PER	je
meurs	VER:pres	mourir
,	PUN	,
dit-il	NOM	dit-il
,	PUN	,
madame	NOM	madame
,	PUN	,
et	KON	et
je	PRO:PER	je
meurs	VER:pres	mourir
satisfait	VER:pper	satisfaire
,	PUN	,
Puis	NOM	Puis
qu'	KON	que
avant	PRP	avant
mon	DET:POS	mon
trépas	NOM	trépas
j'	PRO:PER	je
ai	VER:pres	avoir
fait	VER:pper	faire
voir	VER:infi	voir
à	PRP	à
mon	DET:POS	mon
maître	NOM	maître
Que	VER:futu	Que
je	PRO:PER	je
méritais	VER:impf	mériter
peu	ADV	peu
l'	DET:ART	le
infâme	ADJ	infâme
nom	NOM	nom
de	PRP	de
traître	NOM	traître
.	SENT	.
J'	PRO:PER	je
aimais	VER:impf	aimer
,	PUN	,
et	KON	et
c'	PRO:DEM	ce
est	VER:pres	être
l'	DET:ART	le
aveu	NOM	aveu
d'	PRP	de
un	DET:ART	un
insolent	ADJ	insolent
amour	NOM	amour
Qui	NAM	Qui
m'	PRO:PER	me
avait	VER:impf	avoir
su	VER:pper	savoir
déjà	ADV	déjà
rendre	VER:infi	rendre
indigne	ADJ	indigne
du	PRP:det	du
jour	NOM	jour
.	SENT	.
Le	DET:ART	le
ciel	NOM	ciel
juste	ADJ	juste
par	PRP	par
tout	ADV	tout
fait	VER:pres	faire
plus	ADV	plus
qu'	KON	que
on	PRO:PER	on
n'	ADV	ne
osait	VER:impf	oser
croire	VER:infi	croire
,	PUN	,
Punissant	VER:ppre	punir
mon	DET:POS	mon
audace	NOM	audace
il	PRO:PER	il
conserve	VER:pres	conserver
ma	DET:POS	mon
gloire	NOM	gloire
,	PUN	,
Et	NAM	Et
me	PRO:PER	me
souffre	VER:pres	souffrir
l'	DET:ART	le
espoir	NOM	espoir
d'	PRP	de
un	DET:ART	un
assez	ADV	assez
doux	ADJ	doux
repos	NOM	repos
,	PUN	,
Pourvu	NAM	Pourvu
que	KON	que
ma	DET:POS	mon
princesse	NOM	princesse
...	PUN	...
il	PRO:PER	il
expire	VER:pres	expirer
à	PRP	à
ces	PRO:DEM	ce
mots	NOM	mot
,	PUN	,
Et	VER:ppre	Et
l'	DET:ART	le
amour	NOM	amour
à	PRP	à
la	DET:ART	le
mort	NOM	mort
par	PRP	par
une	DET:ART	un
juste	ADJ	juste
envie	NOM	envie
Dérobe	VER:pres	dérober
le	DET:ART	le
soupir	NOM	soupir
qui	PRO:REL	qui
termine	VER:pres	terminer
sa	DET:POS	son
vie	NOM	vie
.	SENT	.
Enfin	ADV	enfin
un	DET:ART	un
plein	ADJ	plein
succès	NOM	succès
a	VER:pres	avoir
suivi	VER:pper	suivre
vos	DET:POS	votre
refus	NOM	refus
,	PUN	,
Vous	NAM	Vous
triomphez	VER:pres	triompher
,	PUN	,
ma	DET:POS	mon
soeur	NOM	sœur
,	PUN	,
Eucherius	NAM	Eucherius
n'	ADV	ne
est	VER:pres	être
plus	ADV	plus
.	SENT	.
Ayant	VER:ppre	avoir
vu	VER:pper	voir
contre	PRP	contre
lui	PRO:PER	lui
l'	DET:ART	le
imposture	NOM	imposture
soufferte	VER:pper	souffrir
,	PUN	,
Il	NAM	Il
a	VER:pres	avoir
pour	PRP	pour
l'	PRO:PER	la|le
étouffer	VER:infi	étouffer
précipité	VER:pper	précipiter
sa	DET:POS	son
perte	NOM	perte
,	PUN	,
Et	NOM	Et
crû	VER:pper	croître
dans	PRP	dans
les	DET:ART	le
soupçons	NOM	soupçon
d'	PRP	de
un	DET:ART	un
crime	NOM	crime
lâche	ADJ	lâche
et	KON	et
bas	ADV	bas
Un	ADJ	Un
affront	NOM	affront
assez	ADV	assez
grand	ADJ	grand
pour	KON	pour
n'	ADV	ne
y	PRO:PER	y
survivre	VER:infi	survivre
pas	ADV	pas
.	SENT	.
Ah	INT	ah
,	PUN	,
seigneur	NOM	seigneur
,	PUN	,
il	PRO:PER	il
vous	PRO:PER	vous
